0.084863;1.515
0.12707;9.415
0.169277;13.946
0.211483;36.94
0.25369;39.31
0.295897;36.51
0.338104;34.79
0.38031;31.58
0.422517;28.83
0.464724;23.29
0.506931;20.82
0.549137;16.63
0.591344;13.434
0.633551;11.539
0.675758;9.533
0.717965;7.424
0.760171;6.009
0.802378;4.958
0.844585;3.943
0.886792;2.768
0.928998;2.533
0.971205;1.94
1.013412;1.399
1.055619;0.968
1.097826;0.724
1.140032;0.498
1.182239;0.251
1.224446;0.176
1.266653;0.08
1.308859;0.038
1.351066;0.012
1.393273;0
1.43548;0
1.477686;0
1.519893;0
1.5621;0
1.604307;0
1.646514;0
1.68872;0
1.730927;0
