0;0.00114696
0.05;0.00764651
0.1;0.0151801
0.15;0.018997
0.2;0.0206194
0.25;0.02139
0.3;0.0217176
0.35;0.0224215
0.4;0.033725
0.45;0.0469183
0.5;0.0479806
0.55;0.0478339
0.6;0.0504605
0.65;0.05262
0.7;0.0490427
0.75;0.0447542
0.8;0.0406115
0.85;0.0367576
0.9;0.0332708
0.95;0.0300946
1;0.0272398
1.05;0.0246394
1.1;0.0223021
1.15;0.020173
1.2;0.0182594
1.25;0.0165163
1.3;0.0149495
1.35;0.0135224
1.4;0.0122396
1.45;0.0110712
1.5;0.010021
1.55;0.00906433
1.6;0.00820447
1.65;0.00742124
1.7;0.00698766
