0.084379;1.955
0.126102;10.697
0.167825;14.97
0.209547;37.54
0.25127;41.16
0.292993;34.22
0.334716;33.07
0.376438;28.29
0.418161;24.71
0.459884;20.34
0.501607;17.07
0.543329;13.782
0.585052;11.102
0.626775;9.339
0.668498;7.654
0.71022;6.166
0.751943;4.812
0.793666;3.851
0.835389;2.943
0.877111;2.444
0.918834;1.879
0.960557;1.445
1.00228;1.151
1.044002;0.736
1.085725;0.504
1.127448;0.3
1.169171;0.208
1.210893;0.078
1.252616;0.032
1.294339;0.008
1.336062;0.003
1.377784;0
1.419507;0
1.46123;0
1.502953;0
1.544675;0
1.586398;0
1.628121;0
1.669844;0
